text,label
"Rarely has such an amazing cast been wasted so badly. Griffin Dunne, Rosanna Arquette, Illeana Douglas, Ethan Hawke, Dennis Hopper, Christopher Walken, and John Turturro, all jumped on board, only to be torpedoed by a script that seems like nothing more than a Hollywood in joke. Attaching Martin Scorsese's name to this was probably the draw, but the end result is way less than the sum of it's parts. Resembling a nightmare gone horribly wrong, each scene seems more contrived than the next. ""Search and Destroy"" is nothing more than abstract, stylish, self indulgent nonsense, and the entire film is decidedly dull.......... MERK",0
"First let me say I am not from the south but I am an American. I don't love Country music but I can stomach it. I would never wear a cowboy hat but I wear hats. I don't live in a trailer but I do eat tuna salad and own a home. What does that have to do with this comment? A lot if you are one of those people who say only ""country"" people love this movie. This movie is loosely based on the ""They loved and lost"" premise. James Bridges directs an American love story as real as it gets. In an era of Jerry Springer and ""Lets put it out there"" mentality, this film rings truer than ever. <br /><br />Bud is ""coming of age"" and embarks on a life of his own with a little help from his aunt and uncle so he moves to the big city with them. Bud finds himself drawn into the local honky tonk world for the only escape a blue collar man can afford. He quickly meets Sissy who is from a similar background and the two have a whirlwind romance filled with painful ups and downs. <br /><br />(*This plot takes so many turns that one has to just sit for a few minutes before they get hooked. Marriage is a focus here that is often missed. Early in the film they marry and we view the transition from being single to married. The film highlights some of the modern struggles a woman has when she marries an old fashioned man. It also brings into view the male ego with women and competition.)<br /><br />Bud is challenged and is excited when Micky's puts in an electronic bull. Sissy gets ideas of having fun on it too but is quickly reminded that she is married and need to start ""acting like it."" The emotion between the two characters is raw and expressive and the plot continues from there especially when they (NOTE THIS IS GIVING SOME OF THE STORYLINE AWAY) split and Sissy falls for an ex con with a penchant for abuse and cruelty. She soon realizes that the grass is not always greener on the other side.<br /><br />How anyone can compare Bud to Vinnie Barbirino is shocking to me. John Travolta gave an exceptional performance that was worthy recognition. He was believable and real. The scene where he shaves his beard and you first see him at the bar..still gives me goosebumps. Mind you I am not a huge Travolta fan, but come on, I see why Sissy was kicking of her boots so early in the film. Deb Winger was so real that you found yourself sympathizing with her as she pens a note of emotions to Bud, after sneaking in to clean his house during their break up. <br /><br />The supporting cast was incredible. Wes played by Scott Glenn gave a first rate performance that made you hate him and curse him as he abused Sissy. Madolyn Smith-Osborne, as Buds Mistress/girlfriend was so authentic that large chested girls across the U.S. prayed to wake up flat chested to wear the clothes she donned in the film. My biggest kudos's go to Barry Corbin and Brooke Anderson as Bud's aunt and uncle. They seemed like someone's aunt and uncle somewhere in Texas and however small their role, they made the film so much bigger and lifelike. Two memorable scenes were the Dolly Parton contest and the unforgettable scene where Bud and his aunt stand outside after one of the characters death. The dialog between them is touching.<br /><br />If you can watch this for what it is, a true American love story. Then I recommend that you take it for what it is...a film before it's time that gave us voyeurism into a world unlike our own but real enough for our enjoyment and entertainment. If this world sounds similar to yours then you will enjoy it so much more. Lastly, the music however dated, is sure to send you back in time if you are over 30 years of age.",1
"I'm going to review the 2 films as a whole because I feel that is how it should be considered, and watched. When I talk about 'the film' I am talking about parts 1 & 2 together when watched one after the other, as they should be.<br /><br />Thank you Jon Anderson, Steven Soderbergh & Benicio Del Toro.<br /><br />This film is a refreshing, bold, gritty and true film. And, it hearkens a new style of film making. No Faux drama. No Swelling sound track. Not Faux Documentary style. Just clean shots and an attempt to stick to the facts. I have been reading Jon Anderson's ""Che Guevara: A Revolutionary Life"" and recently finished Fidel's Auto biography, and this had helped my ability to soak this film in properly. But I have to say that it is Jon Anderson's exhaustive, penultimate and wonderful biography that has given this film the proper historical back bone. Anderson was consultant on this film (or these 2 films). What makes this film a true thing is that it is clean. No swelling music or slow-motion photography to heighten drama, and even more importantly; no fake documentary shaky camera. Just square shots and straight forward shooting style. The type of camera used makes you feel right there in the jungle. Benicio Del Toro should be given full honors for this, I never doubted him as Che throughout the film... not once. He did a wonderful job and I will respect him for ever for this. Some people complain that the film only deals with 2 slices of his life and not the whole. But I think this is one of the true beautiful aspects of this film: it doesn't try to be everything. It doesn't try to 'tell the story'. A person's life is too multifaceted to try and tell in 2, 4, 8, 16 or 32 hours. This is one of the subtle beauties of this film, it resists that temptation, and stays focused on the intent of letting us GET A FEEL FOR CHE, HIS DEVELOPING MILITARISTIC MIND AND THE FORCES AROUND HIM. It focuses on 3 slices of time: The Battle to over throw Batista, Che's U.N. speech and the Gorilla preparations in Bolivia. ""Motorcycle Diaries"" already told his young man side, and I applaud S. Soderbergh for focusing on other aspects instead. I keep referring to Jon Anderson's book and the film stays true. The only weak link for me are the casting (not the performance) of Matt Damon. In a film so loaded with true to life performances, an American, (Matt Damon) playing a Bolivian is a clunky stretch - he does well, but after so much care in the casting, this was an over-site. Small and completely forgiven. The reality that the rest of the casting gives you, and most notably Benicio Del Toro's amazing job, put's this film at the top of my list.<br /><br />The fact that this film went almost straight to video say's something about how the cold war ethics that would never allow the 'revolutionized Cuba' to become what it might have, are still at work keeping it's story quiet. If not out of clandestine muffling, then out of the effects of properly done propaganda that has prejudiced this topic.<br /><br />This is a must see film, and Jon Anderson's ""Che Guevara: A Revolutionary Life"" is a must read if you want to start to get a grasp of the early effects on the global mind set regarding the expansion of international / political financial chess moves of the 40's, 50's & 60's that placed unfair pressure on our South American neighbors, and the effects it fostered.",1
"I had a lot of expectations from this movie and more so since it was a Yashraj Film.<br /><br />Jimmy operates a call centre and one day he is invited by Pooja Singh to teach her boss, Lakhan Singh, English. The two fall in love and decide to run away but Pooja tells Jimmy that she can't do this as she owes a debt to Lakhan Singh, who is also known as Bhaiyyaji. But they decide and steal money from him and its only then that Jimmy finds out that Bhaiyyaji / Lakhan Singh is a Don. In the meantime, Bhaiyyaji hires a man, Bachchan Pandey, to track down Jimmy and Pooja.<br /><br />Starring Saif Ali Khan, Kareena Kapoor, Anil Kapoor and Akshaye Kumar, the movie is directed by first time director Viay Krishna Acharya and is produced by both Aditya Chopra and Yash Chopra.<br /><br />""Tashan"" has to be one of the worse films that I have ever watched. Yes! The scenery is good and Kareena Kapoor (and her much publicised weight loss) looks good. But plot is extremely thin on story and at times makes no sense from one scene to the other - hence why I have said at the beginning that I had expected more from this film as it was a Yashraj Production. With reference to songs, unfortunately, there is not one song that I can remember now.<br /><br />There are moments where one can laugh and that is mainly thanks to Akshaye Kumar and Saif could have definitely done better while Kareena Kapoor played her part well. But this cannot be said for Anil Kapoor - it did not suit him at all as a villain. Lastly,never mind Aditya Chopra, who in the past has produced and directed good films such as ""Mohabbatein,"" what was Yash Chopra doing by producing such a trash movie? <br /><br />Conclusion: Bad movie, not worth wasting your time and that is my first and last impression.",0
"I believe Shakespeare explained what I just read beautifully. Me thinks he (the lady) doth protest too much. The whole thing sounded to me as if the author was trying to convince himself! He sites profane literature (writings from the same time period but not connected with the bible) a number of times however I can think of at least three references off the top of my head which lend historical accuracy to events contained in the bible. Anyone can skew data & prove anything they like but it doesn't make it true. Customs change, word definitions change over time (look at English & German where it is very obviously a common root) nothing stays the same, it's always growing and changing. The bible has many different translations but the King James version is the one I've found to be the best when it comes to any kind of research. In the King James version you will notice there are certain words written in italics. These words have been added by the translators and can be dropped & the mean of the entire verse changes. Writings from around the time of Christ were written without spaces, without punctuation, without paragraphs & without numeric verses. These writings look like one long word & the translators added all of the above. For example how would you read this: GODISNOWHERE do you read it as God is nowhere or do you read it as God is now here? Same string of letters two entirely different meanings. This is why many biblical researchers use a 'Lexicon' to assist them in translation as it provides a word for word translation from the original Arabic, Greek or Hebrew depending on the language in which the scripture was originally written. It's also interesting to note that when translated into symbolic logic you can prove God exists but you can not prove He doesn't exist! In the end I just love listening to people who think they are so smart that they are qualified to judge the almighty. Talk about ego! Putting soapbox away, God Bless Maegi",0
"This production has absolutely no storyline. The acting is embarrassing. The promising Dutch television Sophie Hilbrand star should not add this movie to her CV. Her acting is far from flawless and personally I think she has crossed boundary of professional decency; relating to the way she exposes herself in this movie. This movie contains too much unnecessary nudity, vulgar sexual scenes and rude language. It also shows a wrong image of the Netherlands (as most movies do). Do not bother to watch this movie: a waste of time, a waste of money and an embarrassing record for Hilbrand, who has proved to be better with her close on on the screen.",0
"This is a really fun movie. One of those you can sit and mindlessly watch as the plot gets more and more twisted; more and more funny. Sally Field, Teri Hatcher (in her hey-day), Kevin Klein, Elisabeth Shue, Robert Downey, Jr...It's all these well-known, quality actors acting as if they are soap opera stars/producers. If you have ever watched a soap opera and thought, ""How on earth did they come up with THIS idea??"", you will LOVE this movie. I have seen it multiple times; and each time I watch it, the more I appreciate the humor, the more I realize just how well-acted it really is. Don't expect Oscar quality. This is a fun movie to entertain, not some artsy attempt at finding ""man's inner man"", etc. Sit back, relax, and laugh.",1
"As a producer of indie movies and a harsh critic of such, I have to say I loved this movie. It is funny and intelligent, well directed and entertaining. Hats off to the producers and directors for making a good one! I'll be watching for the next one. I gave it a 10.",1
"While the 3-D animation (the highlight of the show) did it's job well, most other elements fell flat. It was as though the filmmakers thought ""well, it's gonna be 3-D so we don't have to work that hard on the plot or character development."" And the fact that it's a children's movie is absolutely no excuse. The public is drawn to three dimensional characters (Shrek, Nemo's Dad) just as much as they are drawn to three dimensional graphics. The only dimension any of the main characters showed was two dimensional Scooter who twists the plot from time to time with his compulsion to eat everything in sight.<br /><br />And the absolute kicker? Buzz Aldrin's appearance at the very end (after watching a very robotic cartoon version of the same historical figure for an hour and half) comes on the screen and ruins everyone's good time by calling the film's main characters ""contaminants"" and announcing that the situation put forth on screen was actually an impossibility.<br /><br />???!!!??? Did you just wanna tell the kids the Easter Bunny and Santa Claus don't exist while you're at it?",0
"There's more to offer in the opening of The Odd Couple than in the entirety of most films. Felix Unger (the poor guy's monogram even curses him) checks into a New York hotel. A cleaning lady says ""Good night."" ""Goodbye,"" he answers back. In his room he empties his pockets, then struggles to take off his wedding ring only to put the objects neatly into an envelope, addressed to his wife and beloved children. When the viewer finally puts it together  aha, he's going to off himself  we watch him struggle to open the window  oh no, he's going to jump  The poor guy injures his lower back. This is all you need to know about Felix Unger  his wife has left him, he's a compulsive cleaner and he's a hypochondriac. And all in one scene. This is the particular genius of Neil Simon's comedy  it's about situation and character. There are few obvious physical jokes  no kicks to the groin, no cheap gags  just funny characters in uncomfortable situations. And, of course, he is a master of manipulating the audience's expectations. Coming from the Swingers era, imagine what I thought in the date scene when Felix starts lamenting about the breakup of his marriage to the girls his roommate Oscar has worked so hard to get into his apartment. He's blowing it, right? Think again. The girls love his sensitivity, his ability to cry in front of them. They invite him back to their place since his meatloaf has burned because Oscar wasn't paying enough attention to it. He's in like Flynn, right? Uh, yes, but he doesn't want to go with the girls because he's feeling vulnerable. Great stuff. And it's made even greater with a style that minimizes editing and maximizes the wonderful eight-room apartment set. You've got Jack Lemmon and the slouchy, pouchy Walter Matthau for Chrissakes, why mess it up? The visual style reminded me of Breakfast at Tiffany's, in that great effect is made from a large depth of field and the interplay between the various planes of action. Particularly memorable is the scene in which Felix, fleeing from Oscar, closes a partition only to realize the partition doesn't cover the side where Oscar is coming from. You get a real sense of the layout of the apartment, and thus the proximity in which the two divorcées live. The twist here is that these two are really married  to each other. So the observations about married life that might be ignored in an ordinary romantic comedy are made all the more poignant since they are two guys.",1
